State,Country,Refugees
CALIFORNIA,IRAQ,3049
MICHIGAN,IRAQ,2751
TEXAS,IRAQ,2445
FLORIDA,CUBA,2177
TEXAS,BURMA,2132
CALIFORNIA,IRAN,1668
INDIANA,BURMA,1270
OHIO,BHUTAN,1248
NEW YORK,BURMA,1107
ILLINOIS,IRAQ,1057
MINNESOTA,SOMALIA,1046
PENNSYLVANIA,BHUTAN,983
ARIZONA,IRAQ,967
NEW YORK,BHUTAN,860
NORTH CAROLINA,BURMA,806
MASSACHUSETTS,IRAQ,777
ILLINOIS,BURMA,749
GEORGIA,BURMA,744
MINNESOTA,BURMA,720
NEW YORK,SOMALIA,705
WASHINGTON,IRAQ,704
ARIZONA,SOMALIA,666
NEW YORK,IRAQ,659
TEXAS,SOMALIA,636
VIRGINIA,IRAQ,626
TEXAS,BHUTAN,607
WISCONSIN,BURMA,557
GEORGIA,BHUTAN,550
WASHINGTON,SOMALIA,534
ARIZONA,DEM. REP. CONGO,532
OHIO,SOMALIA,503
NEBRASKA,BURMA,501
OHIO,IRAQ,488
TENNESSEE,IRAQ,458
COLORADO,BURMA,447
PENNSYLVANIA,IRAQ,443
FLORIDA,IRAQ,425
KENTUCKY,BURMA,420
COLORADO,IRAQ,418
PENNSYLVANIA,BURMA,414
MICHIGAN,BURMA,409
IOWA,BURMA,408
KENTUCKY,IRAQ,398
FLORIDA,BURMA,376
MARYLAND,BURMA,366
GEORGIA,SOMALIA,363
PENNSYLVANIA,SOMALIA,360
TEXAS,IRAN,358
NORTH CAROLINA,BHUTAN,354
OKLAHOMA,BURMA,352
NORTH CAROLINA,IRAQ,343
MISSOURI,SOMALIA,339
TEXAS,DEM. REP. CONGO,337
WASHINGTON,BURMA,334
KENTUCKY,SOMALIA,327
MASSACHUSETTS,SOMALIA,307
GEORGIA,IRAQ,305
MASSACHUSETTS,BHUTAN,291
UTAH,IRAQ,290
ARIZONA,BURMA,287
IDAHO,IRAQ,287
OREGON,IRAQ,287
COLORADO,SOMALIA,287
UTAH,SOMALIA,279
NORTH DAKOTA,BHUTAN,278
TENNESSEE,BURMA,276
NORTH CAROLINA,SOMALIA,275
MICHIGAN,SOMALIA,273
MISSOURI,IRAQ,271
KENTUCKY,BHUTAN,265
WISCONSIN,IRAQ,263
NEBRASKA,BHUTAN,257
CALIFORNIA,SOMALIA,249
TEXAS,CUBA,248
CALIFORNIA,BURMA,247
MISSOURI,BURMA,233
MARYLAND,IRAQ,226
MICHIGAN,DEM. REP. CONGO,225
TENNESSEE,SOMALIA,223
COLORADO,BHUTAN,222
GEORGIA,DEM. REP. CONGO,218
NEW YORK,DEM. REP. CONGO,216
TENNESSEE,BHUTAN,215
OREGON,SOMALIA,215
ILLINOIS,BHUTAN,214
MASSACHUSETTS,DEM. REP. CONGO,213
NEVADA,CUBA,206
PENNSYLVANIA,DEM. REP. CONGO,205
NORTH CAROLINA,DEM. REP. CONGO,201
OREGON,BURMA,197
MAINE,IRAQ,190
NEBRASKA,IRAQ,190
KANSAS,BURMA,189
